,name,rating,reviews,domain,location,years_old,employee_strength,tags,about
0,TCS,3.9,16.1k,Public,Mumbai + 156 more,52 years old,10000+ employees,"Consulting, IT/ITES, MNC, Fortune500","Tata Consultancy Services is an IT services, consulting and business solutions organisation that has been partnering with the world’s largest businesses in their transformation journeys for the last 50 years. 

A part of the Tata group, India's largest multinational business group, TCS has over 436,000 of the world’s best-trained consultants in 46 countries. The company is listed on the BSE (formerly Bombay Stock Exchange) and the NSE (National Stock Exchange) in India. 

TCS'​ proactive stance on climate change and award winning work with communities across the world have earned it a place in leading sustainability indices such as the Dow Jones Sustainability Index (DJSI), MSCI Global Sustainability Index and the FTSE4Good Emerging Index."
1,Accenture,4.0,14.1k,Private,Dublin + 87 more,31 years old,10000+ employees,"Consulting, IT/ITES, MNC","Accenture is a leading global professional services company, providing a broad range of services and solutions in strategy, consulting, digital, technology and operations. Combining unmatched experience and specialized skills across more than 40 industries and all business functions – underpinned by the world’s largest delivery network – Accenture works at the intersection of business and technology to help clients improve their performance and create sustainable value for their stakeholders. With 449,000 people serving clients in more than 120 countries, Accenture drives innovation to improve the way the world works and lives. Visit us at www.accenture.com."
2,ICICI Bank,4.1,12.7k,Public,Mumbai + 724 more,26 years old,10000+ employees,"Banking/Insurance/Accounting, Financial Services, MNC, Fortune500","ICICI Bank is India's largest private sector bank with total consolidated assets of Rs. 11,242.81 billion (US$ 172.5 billion) at March 31, 2018 and profit after tax of Rs. 67.77 billion (US$ 1.0 billion) for the year ended March 31, 2018. 

ICICI Bank currently has a network of 4,867 Branches and 14,367 ATMs across India.

ICICI Bank offers a wide range of banking products and financial services to corporate and retail customers through a variety of delivery channels and through its specialised subsidiaries in the areas of investment banking, life and non-life insurance, venture capital and asset management."
3,Cognizant,3.9,12.1k,Private,Teaneck + 44 more,26 years old,10000+ employees,"IT/ITES, MNC","Cognizant (NASDAQ-100: CTSH) is one of the world’s leading professional services companies,
transforming clients’ business, operating and technology models for the digital era. Our unique industry-based, consultative approach helps many of the best-known organizations in every industry and geography envision, build and run more innovative and efficient businesses.
Founded in 1994 as a technology development arm of The Dun & Bradstreet Corporation, we were spun off as an independent company in 1996, and have worked closely with large organizations to help them build stronger businesses ever since. Today, Cognizant specializes in helping some of the world’s most established companies to stay the most loved brands in today’s fast-changing technology landscape by advancing every aspect of how they serve their customers: digitizing their products, services and customer experiences; automating their business processes; and modernizing their technology infrastructures"
4,HDFC Bank,4.0,10.9k,Public,Mumbai + 692 more,26 years old,10000+ employees,"Banking/Insurance/Accounting, Financial Services, Fortune500","HDFC Bank is one of India’s leading private banks and was among the first to receive approval from the Reserve Bank of India (RBI) to set up a private sector bank in 1994.

Today, HDFC Bank has a banking network of 5,314 branches and 13,640  ATMs spread across 2,768 cities and towns.

HDFC Bank offers a diverse range of financial products and banking services to customers through a growing branch and ATM network and digital channels such as Netbanking, Phonebanking and MobileBanking."
5,Infosys,3.9,10.8k,Public,Bangalore + 64 more,39 years old,10000+ employees,"IT/ITES, Fortune500, MNC","Infosys is a global leader in next-generation digital services and consulting. We enable clients in 45 countries to navigate their digital transformation. With over three decades of experience in managing the systems and workings of global enterprises, we expertly steer our clients through the many nexts of their digital journey. We do it by enabling the enterprise with an AI-powered core that helps prioritize the execution of change. We also empower the business with agile digital at scale to deliver unprecedented levels of performance and customer delight. Our always-on learning agenda drives their continuous improvement through building and transferring digital skills, expertise and ideas from our innovation ecosystem."
6,L&T,4.1,10.2k,Public,Mumbai + 333 more,82 years old,10000+ employees,"Construction, Fortune500, Conglomerate","Larsen & Toubro is a major technology, engineering, construction, manufacturing and financial services conglomerate, with global operations. L&T addresses critical needs in key sectors - Hydrocarbon, Infrastructure, Power, Process Industries and Defence - for customers in over 30 countries around the world.

L&T is engaged in core, high impact sectors of the economy and our integrated capabilities span the entire spectrum of ‘design to deliver’. With 8 decades of a strong, customer focused approach and a continuous quest for world-class quality, we have unmatched expertise across Technology, Engineering, Construction, Infrastructure Projects and Manufacturing, and maintain a leadership in all our major lines of business.

Every aspect of L&T's businesses is characterised by professionalism and high standards of corporate governance. Sustainability is embedded into our long-term strategy for growth."
7,Capgemini,3.3,9.6k,Private,Paris + 42 more,53 years old,10000+ employees,"Computer Software, Consulting, IT/ITES, MNC","A global leader in consulting, technology services and digital transformation, Capgemini is at the forefront of innovation to address the entire breadth of clients’ opportunities in the evolving world of cloud, digital and platforms. Building on its strong 50-year heritage and deep industry-specific expertise, Capgemini enables organizations to realize their business ambitions through an array of services from strategy to operations. Capgemini is driven by the conviction that the business value of technology comes from and through people. It is a multicultural company of over 200,000 team members in more than 40 countries. The Group reported 2018 global revenues of EUR 13.2 billion."
8,Tech Mahindra,3.5,9.1k,Public,Pune + 138 more,34 years old,10000+ employees,"Consulting, IT/ITES, MNC, Fortune500","Tech Mahindra represents the connected world, offering innovative and customer-centric information technology experiences, enabling Enterprises, Associates and the Society to Rise™. We are a USD 4.9 billion company with 125,700+ professionals across 90 countries, helping 941 global customers including Fortune 500 companies. Our convergent, digital, design experiences, innovation platforms and reusable assets connect across a number of technologies to deliver tangible business value and experiences to our stakeholders. Tech Mahindra is the highest ranked Non-U.S. company in the Forbes Global Digital 100 list (2018) and in the Forbes Fab 50 companies in Asia (2018)."
9,HCL Technologies,3.7,8.7k,Public,Noida + 106 more,14 years old,10000+ employees,"Consulting, IT/ITES, Fortune500, MNC","HCL Learning, a wholly owned subsidiary of HCL Infosystems, offers education and training content to schools, colleges, individuals and enterprises. Flagship product DigiSchool is a classroom learning solution with interactive content for K-12. Provides customized content repository that caters to the students’ learning needs. Content is designed and developed by HCL Learning Development Centre, certified by Department of Scientific and Industrial Research.  Also offers vocational trainings in the field of IT and ITES. As of June 2015, claims to be catering to 3,500 schools and 3.5M+ students."
